"id" "name" "sex" "age" "height" "weight" "team" "noc" "games" "year" "season" "city" "sport" "event" "medal"
"71" 5199 "Maria Arndt (-Staworzyska, -Blank)" "F" 22 170 62 "Poland" "POL" "1952 Summer" 1952 "Summer" "Helsinki" "Athletics" "Athletics Women's 4 x 100 metres Relay" NA
"72" 5732 "Halina Aszkieowicz (-Wojno)" "F" 21 179 70 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Volleyball" "Volleyball Women's Volleyball" "Bronze"
"73" 5974 "Kamila Anna Augustyn" "F" 26 168 62 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Badminton" "Badminton Women's Singles" NA
"74" 5974 "Kamila Anna Augustyn" "F" 30 168 62 "Poland" "POL" "2012 Summer" 2012 "Summer" "London" "Badminton" "Badminton Women's Singles" NA
"75" 5975 "Rafa Augustyn" "M" 24 180 82 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Athletics" "Athletics Men's 20 kilometres Walk" NA
"76" 5975 "Rafa Augustyn" "M" 28 180 82 "Poland" "POL" "2012 Summer" 2012 "Summer" "London" "Athletics" "Athletics Men's 20 kilometres Walk" NA
"77" 5975 "Rafa Augustyn" "M" 32 180 82 "Poland" "POL" "2016 Summer" 2016 "Summer" "Rio de Janeiro" "Athletics" "Athletics Men's 50 kilometres Walk" NA
"78" 5976 "Benedykt Stanisaw Augustyniak" "M" 28 185 84 "Poland" "POL" "1960 Summer" 1960 "Summer" "Roma" "Rowing" "Rowing Men's Coxless Fours" NA
"79" 6468 "Marian Babirecki" "M" 27 172 72 "Poland" "POL" "1960 Summer" 1960 "Summer" "Roma" "Equestrianism" "Equestrianism Men's Three-Day Event, Individual" NA
"80" 6468 "Marian Babirecki" "M" 27 172 72 "Poland" "POL" "1960 Summer" 1960 "Summer" "Roma" "Equestrianism" "Equestrianism Men's Three-Day Event, Team" NA
"81" 6504 "Grayna Bacewicz" "F" 39 NA NA "Poland" "POL" "1948 Summer" 1948 "Summer" "London" "Art Competitions" "Art Competitions Mixed Music, Compositions For Orchestra" NA
"82" 6540 "Andrzej Bachleda-Curu, III" "M" 23 179 78 "Poland" "POL" "1998 Winter" 1998 "Winter" "Nagano" "Alpine Skiing" "Alpine Skiing Men's Downhill" NA
"83" 6540 "Andrzej Bachleda-Curu, III" "M" 23 179 78 "Poland" "POL" "1998 Winter" 1998 "Winter" "Nagano" "Alpine Skiing" "Alpine Skiing Men's Giant Slalom" NA
"84" 6540 "Andrzej Bachleda-Curu, III" "M" 23 179 78 "Poland" "POL" "1998 Winter" 1998 "Winter" "Nagano" "Alpine Skiing" "Alpine Skiing Men's Slalom" NA
"85" 6540 "Andrzej Bachleda-Curu, III" "M" 23 179 78 "Poland" "POL" "1998 Winter" 1998 "Winter" "Nagano" "Alpine Skiing" "Alpine Skiing Men's Combined" NA
"86" 6540 "Andrzej Bachleda-Curu, III" "M" 27 179 78 "Poland" "POL" "2002 Winter" 2002 "Winter" "Salt Lake City" "Alpine Skiing" "Alpine Skiing Men's Slalom" NA
"87" 6541 "Andrzej Jan Bachleda-Curu" "M" 21 176 76 "Poland" "POL" "1968 Winter" 1968 "Winter" "Grenoble" "Alpine Skiing" "Alpine Skiing Men's Downhill" NA
"88" 6541 "Andrzej Jan Bachleda-Curu" "M" 21 176 76 "Poland" "POL" "1968 Winter" 1968 "Winter" "Grenoble" "Alpine Skiing" "Alpine Skiing Men's Giant Slalom" NA
"89" 6541 "Andrzej Jan Bachleda-Curu" "M" 21 176 76 "Poland" "POL" "1968 Winter" 1968 "Winter" "Grenoble" "Alpine Skiing" "Alpine Skiing Men's Slalom" NA
"90" 6541 "Andrzej Jan Bachleda-Curu" "M" 25 176 76 "Poland" "POL" "1972 Winter" 1972 "Winter" "Sapporo" "Alpine Skiing" "Alpine Skiing Men's Giant Slalom" NA
"91" 6541 "Andrzej Jan Bachleda-Curu" "M" 25 176 76 "Poland" "POL" "1972 Winter" 1972 "Winter" "Sapporo" "Alpine Skiing" "Alpine Skiing Men's Slalom" NA
"92" 6542 "Jan Wojciech Bachleda-Curu" "M" 24 175 72 "Poland" "POL" "1976 Winter" 1976 "Winter" "Innsbruck" "Alpine Skiing" "Alpine Skiing Men's Slalom" NA
"93" 6565 "Arkadiusz Stefan Bachur" "M" 31 186 76 "Poland" "POL" "1992 Summer" 1992 "Summer" "Barcelona" "Equestrianism" "Equestrianism Mixed Three-Day Event, Individual" NA
"94" 6565 "Arkadiusz Stefan Bachur" "M" 31 186 76 "Poland" "POL" "1992 Summer" 1992 "Summer" "Barcelona" "Equestrianism" "Equestrianism Mixed Three-Day Event, Team" NA
"95" 6662 "Andrzej Stanisaw Badeski" "M" 21 173 68 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Athletics" "Athletics Men's 400 metres" "Bronze"
"96" 6662 "Andrzej Stanisaw Badeski" "M" 21 173 68 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Athletics" "Athletics Men's 4 x 400 metres Relay" NA
